dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,9,Alexander Zverev,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,10,Andrey Rublev,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,11,Novak Djokovic,Holger Rune,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,12,Alexander Zverev,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,13,Taylor Fritz,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,14,Jannik Sinner,Carlos Alcaraz,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,15,Novak Djokovic,Carlos Alcaraz,True,model_a,model_b,False,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,16,Daniil Medvedev,Novak Djokovic,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,17,Andrey Rublev,Holger Rune,True,model_b,model_a,False,1,1,False,False,5,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,18,Alexander Zverev,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,5,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,19,Alexander Zverev,Carlos Alcaraz,True,model_a,model_a,True,1,1,False,False,5,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,20,Carlos Alcaraz,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,5,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,21,Taylor Fritz,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,6,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,22,Andrey Rublev,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,6,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,23,Jannik Sinner,Carlos Alcaraz,True,model_b,model_b,True,1,1,False,False,6,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,24,Taylor Fritz,Stefanos Tsitsipas,True,model_a,model_a,True,1,1,False,False,6,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,25,Taylor Fritz,Daniil Medvedev,True,model_a,model_a,True,1,1,True,False,7,6,4
